"requestid","boro","yr","m","d","hh","mm","vol","segmentid","wktgeom","street","fromst","tost","direction"
"22562","Queens","2016","5","9","7","15","486","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","7","30","443","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","7","45","485","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","8","0","410","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","8","15","413","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","8","30","380","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","8","45","368","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","9","0","362","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","9","15","347","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","9","30","360","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","9","45","379","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","10","0","327","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","10","15","302","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","10","30","314","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","10","45","377","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"11693","Queens","2013","5","11","14","0","252","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","14","15","240","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","14","30","231","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","14","45","247","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","15","0","237","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","15","15","238","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","15","30","234","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","15","45","241","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","16","0","259","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","16","15","229","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","16","30","221","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","16","45","225","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","17","0","208","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","17","15","213","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","17","30","235","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","17","45","249","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","18","0","248","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","18","15","266","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","18","30","263","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","18","45","222","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","19","0","247","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","19","15","253","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","19","30","234","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","19","45","197","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
